AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
08335043;000;Stadt Konstanz gesamt ;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;32126;30436;4599;6421;1091
08335043;000;Stadt Konstanz gesamt ;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;31971;30485;4624;6475;1078
08335043;000;Stadt Konstanz gesamt ;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;31714;30587;4604;6429;491
08335043;000;Stadt Konstanz gesamt ;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;31472;30558;4604;6492;380
08335043;000;Stadt Konstanz gesamt ;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;32078;30535;4640;6558;298
08335043;000;Stadt Konstanz gesamt ;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;32014;30540;4660;6596;214
08335043;000;Stadt Konstanz gesamt ;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;32043;30391;4668;6564;136
08335043;000;Stadt Konstanz gesamt ;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;31953;30314;4675;6477;50
08335043;000;Stadt Konstanz gesamt ;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;31317;30082;4666;6370;13
08335043;000;Stadt Konstanz gesamt ;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;30602;29826;4703;6305;1
08335043;000;Stadt Konstanz gesamt ;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;30049;29691;4817;6313;1
08335043;000;Stadt Konstanz gesamt ;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;29061;29589;4690;6225;0
08335043;000;Stadt Konstanz gesamt ;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;28080;29611;4682;6196;11
08335043;000;Stadt Konstanz gesamt ;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;27405;29639;4677;6110;1
