AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
8335043;10;Altstadt;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;5280;3666;559;964;175
8335043;20;Paradies;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2853;1747;342;423;21
8335043;30;Petershausen-West;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6932;4915;634;1206;206
8335043;35;Petershausen-Ost;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2273;2826;615;545;94
8335043;40;Koenigsbau;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2803;1967;248;429;81
8335043;50;Allmannsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1804;2156;311;408;26
8335043;60;Staad;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;521;792;111;121;9
8335043;70;Fuerstenberg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;4561;4303;701;1040;113
8335043;80;Wollmatingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1963;2646;351;478;41
8335043;90;Industriegebiet;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;286;347;38;75;230
8335043;100;Egg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;205;353;27;34;10
8335043;110;Litzelstetten;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1033;1679;267;278;33
8335043;120;Dingelsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;530;984;117;132;10
8335043;130;Dettingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;762;1571;207;206;34
8335043;140;Wallhausen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;320;484;71;82;8
8335043;10;Altstadt;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;5188;3608;589;954;163
8335043;20;Paradies;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2868;1748;352;437;104
8335043;30;Petershausen-West;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6991;4896;642;1226;249
8335043;35;Petershausen-Ost;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2240;2815;587;561;79
8335043;40;Koenigsbau;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2798;2017;248;433;63
8335043;50;Allmannsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1777;2171;315;399;30
8335043;60;Staad;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;523;795;117;132;12
8335043;70;Fuerstenberg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;4583;4295;713;1036;94
8335043;80;Wollmatingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1903;2647;348;478;23
8335043;90;Industriegebiet;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;293;351;39;73;168
8335043;100;Egg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;197;377;23;32;12
8335043;110;Litzelstetten;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1006;1704;264;282;31
8335043;120;Dingelsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;516;981;116;132;14
8335043;130;Dettingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;761;1589;198;215;29
8335043;140;Wallhausen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;327;491;73;85;7
8335043;10;Altstadt;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;5101;3668;583;943;63
8335043;20;Paradies;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2829;1742;359;432;12
8335043;30;Petershausen-West;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6996;4898;646;1199;163
8335043;35;Petershausen-Ost;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2243;2865;595;560;26
8335043;40;Koenigsbau;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2681;1997;248;440;39
8335043;50;Allmannsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1733;2149;312;400;8
8335043;60;Staad;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;520;801;113;131;2
8335043;70;Fuerstenberg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;4603;4307;701;1021;39
8335043;80;Wollmatingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1925;2636;350;481;16
8335043;90;Industriegebiet;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;276;357;40;75;92
8335043;100;Egg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;197;369;22;31;7
8335043;110;Litzelstetten;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;990;1705;261;289;11
8335043;120;Dingelsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;508;989;110;131;6
8335043;130;Dettingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;773;1609;197;214;7
8335043;140;Wallhausen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;339;495;67;82;0
8335043;10;Altstadt;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5151;3697;579;969;54
8335043;20;Paradies;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2772;1757;359;443;8
8335043;30;Petershausen-West;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6881;4786;653;1257;123
8335043;35;Petershausen-Ost;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2235;2848;612;559;29
8335043;40;Koenigsbau;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2644;1923;252;410;14
8335043;50;Allmannsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1730;2140;304;388;6
8335043;60;Staad;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;519;808;113;142;2
8335043;70;Fuerstenberg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;4464;4405;700;1021;30
8335043;80;Wollmatingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1950;2658;339;485;18
8335043;90;Industriegebiet;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;279;366;44;82;74
8335043;100;Egg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;199;364;25;27;5
8335043;110;Litzelstetten;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1017;1728;255;287;10
8335043;120;Dingelsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;536;987;108;124;2
8335043;130;Dettingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;772;1592;193;207;3
8335043;140;Wallhausen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;323;499;68;91;2
8335043;10;Altstadt;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;5200;3714;583;989;31
8335043;20;Paradies;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2835;1760;377;452;3
8335043;30;Petershausen-West;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;7043;4844;672;1266;117
8335043;35;Petershausen-Ost;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2254;2809;619;559;15
8335043;40;Koenigsbau;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2663;1896;254;397;8
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1790;2138;302;392;3
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;503;782;112;137;0
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;4572;4419;701;1036;26
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1952;2639;348;507;9
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;334;364;45;88;69
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;219;365;24;28;6
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1068;1734;245;297;5
8335043;120;Dingelsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;541;1003;103;125;3
8335043;130;Dettingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;759;1576;191;198;3
8335043;140;Wallhausen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;345;492;64;87;0
8335043;10;Altstadt;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;5206;3683;577;998;27
8335043;20;Paradies;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2783;1800;388;467;2
8335043;30;Petershausen-West;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7080;4850;663;1274;93
8335043;35;Petershausen-Ost;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2274;2811;637;549;15
