AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbevoelkerung insg.;Religion - katholisch;Religion - evangelisch;Religion - sonstige
8335043;10;Altstadt;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12311;3187;2116;7008
8335043;20;Paradies;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6023;1988;1104;2931
8335043;30;Petershausen-West;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;16175;4227;2578;9370
8335043;35;Petershausen-Ost;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;7332;2079;1428;3825
8335043;40;Koenigsbau;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6590;1917;1208;3465
8335043;50;Allmannsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;5416;1636;1175;2605
8335043;60;Staad;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1814;546;393;875
8335043;70;Fuerstenberg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12490;3534;2068;6888
8335043;80;Wollmatingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;1958;1116;3669
8335043;90;Industriegebiet;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1215;233;109;873
8335043;100;Egg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;244;179;382
8335043;110;Litzelstetten;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3818;1229;790;1799
8335043;120;Dingelsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2078;797;369;912
8335043;130;Dettingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3420;1247;638;1535
8335043;140;Wallhausen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;337;226;567
8335043;10;Altstadt;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12129;3373;2176;6580
8335043;20;Paradies;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6202;2068;1155;2979
8335043;30;Petershausen-West;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;16309;4439;2723;9147
8335043;35;Petershausen-Ost;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;7267;2121;1478;3668
8335043;40;Koenigsbau;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6669;1991;1266;3412
8335043;50;Allmannsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;5421;1696;1235;2490
8335043;60;Staad;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1846;561;390;895
