AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbev_insg;Deutsch;Nichtdeutsch
8335043;10;Altstadt;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12311;10245;2066
8335043;20;Paradies;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6023;5226;797
8335043;30;Petershausen-West;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;16175;12552;3623
8335043;35;Petershausen-Ost;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;7332;6261;1071
8335043;40;Koenigsbau;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6590;5179;1411
8335043;50;Allmannsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;5416;4775;641
8335043;60;Staad;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1814;1643;171
8335043;70;Fuerstenberg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12490;9909;2581
8335043;80;Wollmatingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;5585;1158
8335043;90;Industriegebiet;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1215;599;616
8335043;100;Egg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;695;110
8335043;110;Litzelstetten;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3818;3392;426
8335043;120;Dingelsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2078;1900;178
8335043;130;Dettingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3420;3019;401
8335043;140;Wallhausen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;972;158
8335043;10;Altstadt;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12129;10191;1938
8335043;20;Paradies;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6202;5247;955
8335043;30;Petershausen-West;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;16309;12605;3704
8335043;35;Petershausen-Ost;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;7267;6267;1000
8335043;40;Koenigsbau;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6669;5225;1444
8335043;50;Allmannsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;5421;4780;641
8335043;60;Staad;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1846;1634;212
8335043;70;Fuerstenberg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12465;9958;2507
8335043;80;Wollmatingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6645;5515;1130
8335043;90;Industriegebiet;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1102;620;482
8335043;100;Egg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;833;732;101
8335043;110;Litzelstetten;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3820;3358;462
8335043;120;Dingelsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2075;1892;183
8335043;130;Dettingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3422;3033;389
8335043;140;Wallhausen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1150;991;159
8335043;10;Altstadt;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;11952;10209;1743
8335043;20;Paradies;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6009;5253;756
8335043;30;Petershausen-West;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;16082;12594;3488
8335043;35;Petershausen-Ost;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;7245;6350;895
8335043;40;Koenigsbau;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6507;5192;1315
8335043;50;Allmannsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;5328;4771;557
8335043;60;Staad;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1816;1635;181
8335043;70;Fuerstenberg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;12382;9986;2396
8335043;80;Wollmatingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6667;5563;1104
8335043;90;Industriegebiet;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1002;620;382
8335043;100;Egg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;714;91
8335043;110;Litzelstetten;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3785;3403;382
8335043;120;Dingelsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2056;1883;173
8335043;130;Dettingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3399;3035;364
8335043;140;Wallhausen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1129;965;164
8335043;10;Altstadt;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;12080;10334;1746
8335043;20;Paradies;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5994;5291;703
8335043;30;Petershausen-West;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;15820;12473;3347
8335043;35;Petershausen-Ost;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;7270;6349;921
8335043;40;Koenigsbau;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6254;5096;1158
8335043;50;Allmannsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5308;4773;535
8335043;60;Staad;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1840;1666;174
