AGS;GEMEINDE;STT;STADTTEIL;STADTVIERTEL;Stand_Einwohner;EINW_HW_GESAMT;EINW_HW_FRAUEN;EINW_HW_DEUTSCH;EINW_HW_NICHTDEUTSCH;EINW_HW_unter18;EINW_HW_18_bis_unter_30;EINW_HW_30_bis_unter_40;EINW_HW_40_bis_unter_50;EINW_HW_50_bis_unter_60;EINW_HW_60_und_aelter;Haushalte
8335043;Konstanz;"""010""";Altstadt;"""0101""";31.12.2023;1270;660;1004;266;127;402;204;143;158;236;870
8335043;Konstanz;"""010""";Altstadt;"""0102""";31.12.2023;1767;910;1402;365;244;430;291;221;201;380;1083
8335043;Konstanz;"""010""";Altstadt;"""0103""";31.12.2023;2963;1532;2469;494;422;579;489;368;380;725;1729
8335043;Konstanz;"""010""";Altstadt;"""0104""";31.12.2023;2042;1127;1820;222;304;440;269;255;293;481;1215
8335043;Konstanz;"""010""";Altstadt;"""0105""";31.12.2023;1558;830;1331;227;271;348;278;210;180;271;844
8335043;Konstanz;"""010""";Altstadt;"""0106""";31.12.2023;1216;632;1006;210;113;292;228;126;122;335;820
8335043;Konstanz;"""010""";Altstadt;"""0107""";31.12.2023;1495;780;1213;282;173;383;235;184;147;373;982
8335043;Konstanz;"""010""";Altstadt;"""010""";31.12.2023;12311;6471;10245;2066;1654;2874;1994;1507;1481;2801;7543
8335043;Konstanz;"""020""";Paradies;"""0201""";31.12.2023;2735;1447;2399;336;362;460;400;284;398;831;1660
8335043;Konstanz;"""020""";Paradies;"""0202""";31.12.2023;1623;921;1397;226;171;321;225;163;204;539;1055
8335043;Konstanz;"""020""";Paradies;"""0203""";31.12.2023;1055;469;848;207;NA;1024;19;6;4;NA;651
8335043;Konstanz;"""020""";Paradies;"""0204""";31.12.2023;610;331;582;28;97;102;85;57;106;163;330
8335043;Konstanz;"""020""";Paradies;"""020""";31.12.2023;6023;3168;5226;797;632;1907;729;510;712;1533;3696
8335043;Konstanz;"""030""";Petershausen-West;"""0301""";31.12.2023;1034;532;764;270;135;275;198;110;131;185;621
8335043;Konstanz;"""030""";Petershausen-West;"""0302""";31.12.2023;1671;829;1122;549;267;401;251;200;203;349;905
8335043;Konstanz;"""030""";Petershausen-West;"""0303""";31.12.2023;6088;3157;4831;1257;842;1779;1126;603;634;1104;3631
