AGS;Stadtteil_Nr;Stadtteil_Name;Jahr;Quelle;Lebendgeburten ;Geburten je 1000 Einw.;Sterbefaelle;Sterbefaelle je 1000 Einw.;natuerliche Bevoelkerungssaldo
08335043;010;Altstadt;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;108;8,77;149;12,10;-41
08335043;020;Paradies;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;36;5,98;80;13,28;-44
08335043;030;Petershausen-West;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;152;9,40;99;6,12;53
08335043;035;Petershausen-Ost;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;52;7,09;130;17,73;-78
08335043;040;Koenigsbau;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;36;5,46;45;6,83;-9
08335043;050;Allmannsdorf;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;34;6,28;48;8,86;-14
08335043;060;Staad;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;11;6,06;18;9,92;-7
08335043;070;Fuerstenberg;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;113;9,05;104;8,33;9
08335043;080;Wollmatingen;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;58;8,60;62;9,19;-4
08335043;090;Industriegebiet;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,41;7;5,76;2
08335043;100;Egg;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1;1,24;3;3,73;-2
08335043;110;Litzelstetten;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;31;8,12;40;10,48;-9
08335043;120;Dingelsdorf;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;4,81;12;5,77;-2
08335043;130;Dettingen;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;30;8,77;35;10,23;-5
08335043;140;Wallhausen;2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;8,85;7;6,19;3
08335043;010;Altstadt;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;98;8,08;162;13,36;-64
08335043;020;Paradies;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;44;7,09;67;10,80;-23
08335043;030;Petershausen-West;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;155;9,50;99;6,07;56
08335043;035;Petershausen-Ost;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;60;8,26;164;22,57;-104
08335043;040;Koenigsbau;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;56;8,40;46;6,90;10
08335043;050;Allmannsdorf;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;35;6,46;64;11,81;-29
08335043;060;Staad;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;21;11,38;20;10,83;1
08335043;070;Fuerstenberg;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;90;7,22;120;9,63;-30
08335043;080;Wollmatingen;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;55;8,28;85;12,79;-30
08335043;090;Industriegebiet;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12;10,89;14;12,70;-2
08335043;100;Egg;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6;7,20;3;3,60;3
08335043;110;Litzelstetten;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;24;6,28;37;9,69;-13
08335043;120;Dingelsdorf;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12;5,78;18;8,67;-6
08335043;130;Dettingen;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;29;8,47;38;11,10;-9
08335043;140;Wallhausen;2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,83;9;7,83;0
08335043;010;Altstadt;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;128;10,71;140;11,71;-12
08335043;020;Paradies;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;40;6,66;63;10,48;-23
08335043;030;Petershausen-West;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;175;10,88;123;7,65;52
08335043;035;Petershausen-Ost;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;61;8,42;163;22,50;-102
08335043;040;Koenigsbau;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;61;9,37;38;5,84;23
08335043;050;Allmannsdorf;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;43;8,07;37;6,94;6
08335043;060;Staad;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;16;8,81;26;14,32;-10
08335043;070;Fuerstenberg;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;122;9,85;106;8,56;16
08335043;080;Wollmatingen;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;54;8,10;73;10,95;-19
08335043;090;Industriegebiet;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;14;13,97;6;5,99;8
08335043;100;Egg;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6;7,45;3;3,73;3
08335043;110;Litzelstetten;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;32;8,45;26;6,87;6
08335043;120;Dingelsdorf;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;18;8,75;15;7,30;3
08335043;130;Dettingen;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;30;8,83;19;5,59;11
08335043;140;Wallhausen;2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,97;15;13,29;-6
08335043;010;Altstadt;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;134;11,09;131;10,84;3
08335043;020;Paradies;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;41;6,84;76;12,68;-35
08335043;030;Petershausen-West;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;170;10,75;93;5,88;77
08335043;035;Petershausen-Ost;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;62;8,53;150;20,63;-88
08335043;040;Koenigsbau;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;41;6,56;31;4,96;10
08335043;050;Allmannsdorf;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;50;9,42;35;6,59;15
08335043;060;Staad;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;7,07;3;1,63;10
08335043;070;Fuerstenberg;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;111;8,97;108;8,73;3
