AGS;Stadtteil_Nr;Stadtteil;Jahr ;Quelle;Kaufkraft-Index (pro Einwohner)
08335043;000;Stadt Konstanz gesamt;2022;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2022;GfK Kaufkraft Deutschland ;98,96463742
08335043;020;Paradies;2022;GfK Kaufkraft Deutschland ;96,54117929
08335043;030;Petershausen-West;2022;GfK Kaufkraft Deutschland ;81,70650374
08335043;035;Petershausen-Ost;2022;GfK Kaufkraft Deutschland ;112,2002976
08335043;040;Koenigsbau;2022;GfK Kaufkraft Deutschland ;98,5091954
08335043;050;Allmannsdorf;2022;GfK Kaufkraft Deutschland ;118,4130765
08335043;060;Staad;2022;GfK Kaufkraft Deutschland ;113,2762902
08335043;070;Fuerstenberg;2022;GfK Kaufkraft Deutschland ;91,1318116
08335043;080;Wollmatingen;2022;GfK Kaufkraft Deutschland ;94,51502051
08335043;090;Industriegebiet;2022;GfK Kaufkraft Deutschland ;86,65149234
08335043;100;Egg;2022;GfK Kaufkraft Deutschland ;125,9164822
08335043;110;Litzelstetten;2022;GfK Kaufkraft Deutschland ;129,1171012
08335043;120;Dingelsdorf;2022;GfK Kaufkraft Deutschland ;121,327194
08335043;130;Dettingen;2022;GfK Kaufkraft Deutschland ;121,163412
08335043;140;Wallhausen;2022;GfK Kaufkraft Deutschland ;127,5983029
08335043;000;Stadt Konstanz gesamt;2021;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2021;GfK Kaufkraft Deutschland ;101,2256652
08335043;020;Paradies;2021;GfK Kaufkraft Deutschland ;95,79312796
08335043;030;Petershausen-West;2021;GfK Kaufkraft Deutschland ;87,04901546
08335043;035;Petershausen-Ost;2021;GfK Kaufkraft Deutschland ;108,0488787
08335043;040;Koenigsbau;2021;GfK Kaufkraft Deutschland ;99,32901673
08335043;050;Allmannsdorf;2021;GfK Kaufkraft Deutschland ;111,0142114
08335043;060;Staad;2021;GfK Kaufkraft Deutschland ;112,0641051
08335043;070;Fuerstenberg;2021;GfK Kaufkraft Deutschland ;97,35712902
08335043;080;Wollmatingen;2021;GfK Kaufkraft Deutschland ;96,940378
08335043;090;Industriegebiet;2021;GfK Kaufkraft Deutschland ;87,41522455
08335043;100;Egg;2021;GfK Kaufkraft Deutschland ;115,2720325
08335043;110;Litzelstetten;2021;GfK Kaufkraft Deutschland ;118,8465583
08335043;120;Dingelsdorf;2021;GfK Kaufkraft Deutschland ;104,8121809
08335043;130;Dettingen;2021;GfK Kaufkraft Deutschland ;108,2362361
08335043;140;Wallhausen;2021;GfK Kaufkraft Deutschland ;115,4773741
08335043;000;Stadt Konstanz gesamt;2020;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2020;GfK Kaufkraft Deutschland ;96,61157189
08335043;020;Paradies;2020;GfK Kaufkraft Deutschland ;97,09853101
