AGS,Stadtteil_Nr,Stadtteil,Stichtag,Quelle,Wohnbev_insg,Deutsch,Nichtdeutsch,AGS_dup,Stadtteil_Nr_dup,Quelle_dup,Fam_Stand_ledig (ab 18J),Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J),Fam_Stand_Verwitwet_LP-gestorben (ab 18J),Fam_Stand_Geschieden_LP aufgehoben (ab 18J),Fam_Stand_unbekannt (ab 18J),GEMEINDE,STT,STADTVIERTEL,EINW_HW_GESAMT,EINW_HW_FRAUEN,EINW_HW_DEUTSCH,EINW_HW_NICHTDEUTSCH,EINW_HW_unter18,EINW_HW_18_bis_unter_30,EINW_HW_30_bis_unter_40,EINW_HW_40_bis_unter_50,EINW_HW_50_bis_unter_60,EINW_HW_60_und_aelter,Haushalte,Wohnbevoelkerung insg.,Religion - katholisch,Religion - evangelisch,Religion - sonstige,Lebendgeburten,Geburten je 1000 Einw.,Sterbefaelle,Sterbefaelle je 1000 Einw.,natuerliche Bevoelkerungssaldo,Kaufkraft-Index (pro Einwohner)
8335043.0,50.0,Allmannsdorf,2011,Stadt Konstanz - Eigene Einwohnerfortschreibung,5274.0,4863.0,411.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1636.0,2114.0,352.0,381.0,1.0,Konstanz,"""050""","""0501""",1659.0,886.0,1574.0,85.0,273.0,248.0,136.0,266.0,187.0,549.0,876.0,5274.0,2037.0,1431.0,1806.0,26.0,"4,93",38.0,"7,21",-12.0,"109,3758166"
8335043.0,50.0,Allmannsdorf,2012,Stadt Konstanz - Eigene Einwohnerfortschreibung,5227.0,4790.0,437.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1632.0,2081.0,360.0,382.0,0.0,Konstanz,"""050""","""0501""",1660.0,890.0,1561.0,99.0,266.0,260.0,136.0,252.0,200.0,546.0,884.0,5227.0,2008.0,1393.0,1826.0,31.0,"5,93",31.0,"5,93",0.0,"109,3758166"
8335043.0,50.0,Allmannsdorf,2013,Stadt Konstanz - Eigene Einwohnerfortschreibung,5241.0,4803.0,438.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1685.0,2074.0,350.0,386.0,0.0,Konstanz,"""050""","""0501""",1662.0,897.0,1566.0,96.0,269.0,256.0,151.0,236.0,221.0,529.0,865.0,5241.0,1955.0,1404.0,1882.0,27.0,"5,15",48.0,"9,16",-21.0,"121,1745925"
8335043.0,50.0,Allmannsdorf,2014,Stadt Konstanz - Eigene Einwohnerfortschreibung,5293.0,4812.0,481.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1769.0,2072.0,339.0,377.0,0.0,Konstanz,"""050""","""0501""",1667.0,884.0,1548.0,119.0,259.0,264.0,146.0,227.0,246.0,525.0,866.0,5293.0,1953.0,1394.0,1946.0,28.0,"5,29",47.0,"8,88",-19.0,"121,9068585"
8335043.0,50.0,Allmannsdorf,2015,Stadt Konstanz - Eigene Einwohnerfortschreibung,5315.0,4795.0,520.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1760.0,2096.0,334.0,384.0,0.0,Konstanz,"""050""","""0501""",1677.0,895.0,1545.0,132.0,264.0,281.0,137.0,201.0,268.0,526.0,885.0,5315.0,1946.0,1399.0,1970.0,33.0,"6,21",40.0,"7,53",-7.0,"122,0589217"
8335043.0,50.0,Allmannsdorf,2016,Stadt Konstanz - Eigene Einwohnerfortschreibung,5305.0,4803.0,502.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1749.0,2111.0,328.0,386.0,0.0,Konstanz,"""050""","""0501""",1659.0,885.0,1529.0,130.0,250.0,282.0,127.0,197.0,275.0,528.0,890.0,5305.0,1923.0,1385.0,1997.0,37.0,"6,97",33.0,"6,22",4.0,"123,9436458"
8335043.0,50.0,Allmannsdorf,2017,Stadt Konstanz - Eigene Einwohnerfortschreibung,5334.0,4792.0,542.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1733.0,2149.0,328.0,376.0,1.0,Konstanz,"""050""","""0501""",1641.0,867.0,1502.0,139.0,240.0,274.0,141.0,177.0,284.0,525.0,881.0,5334.0,1923.0,1354.0,2057.0,40.0,"7,50",44.0,"8,25",-4.0,"124,5831404"
8335043.0,50.0,Allmannsdorf,2018,Stadt Konstanz - Eigene Einwohnerfortschreibung,5341.0,4788.0,553.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1760.0,2147.0,309.0,382.0,2.0,Konstanz,"""050""","""0501""",1643.0,877.0,1495.0,148.0,242.0,283.0,165.0,166.0,286.0,501.0,877.0,5341.0,1895.0,1354.0,2092.0,37.0,"6,93",51.0,"9,55",-14.0,"126,5398682"
8335043.0,50.0,Allmannsdorf,2019,Stadt Konstanz - Eigene Einwohnerfortschreibung,5348.0,4795.0,553.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1790.0,2138.0,302.0,392.0,3.0,Konstanz,"""050""","""0501""",1683.0,899.0,1525.0,158.0,252.0,285.0,189.0,171.0,279.0,507.0,895.0,5348.0,1842.0,1312.0,2194.0,32.0,"5,98",42.0,"7,85",-10.0,"120,5703842"
8335043.0,50.0,Allmannsdorf,2020,Stadt Konstanz - Eigene Einwohnerfortschreibung,5308.0,4773.0,535.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1730.0,2140.0,304.0,388.0,6.0,Konstanz,"""050""","""0501""",1697.0,910.0,1527.0,170.0,263.0,267.0,202.0,165.0,278.0,522.0,912.0,5308.0,1806.0,1273.0,2229.0,50.0,"9,42",35.0,"6,59",15.0,"118,5542552"
